"","X","City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal"
"8061",8178,"Atlanta",1996,"Boxing","Boxing","+ 91kg (super heavyweight)","LEZIN, Alexei","Men","RUS","Russia","M","Bronze"
"8062",8179,"Atlanta",1996,"Boxing","Boxing","75 - 81kg (light-heavyweight)","JIROV, Vasilii","Men","KAZ","Kazakhstan","M","Gold"
"8063",8180,"Atlanta",1996,"Boxing","Boxing","51 - 54kg (bantamweight)","KHADPO, Vichai","Men","THA","Thailand","M","Bronze"
"8064",8181,"Atlanta",1996,"Boxing","Boxing","67 - 71kg (light-middleweight)","TULAGANOV, Karim","Men","UZB","Uzbekistan","M","Bronze"
"8065",8182,"Atlanta",1996,"Boxing","Boxing","- 48kg (light-flyweight)","KIRYUKHIN, Oleg","Men","UKR","Ukraine","M","Bronze"
"8066",8183,"Atlanta",1996,"Boxing","Boxing","48 - 51kg (flyweight)","PAKEEV, Albert","Men","RUS","Russia","M","Bronze"
"8067",8184,"Atlanta",1996,"Boxing","Boxing","71-75kg","BAHARI, Mohamed","Men","ALG","Algeria","M","Bronze"
"8068",8185,"Atlanta",1996,"Boxing","Boxing","48 - 51kg (flyweight)","ROMERO, Maikro","Men","CUB","Cuba","M","Gold"
"8069",8186,"Atlanta",1996,"Boxing","Boxing","67 - 71kg (light-middleweight)","REID, David","Men","USA","United States","M","Gold"
"8070",8187,"Atlanta",1996,"Boxing","Boxing","81 - 91kg (heavyweight)","SAVON, Felix","Men","CUB","Cuba","M","Gold"
"8071",8188,"Atlanta",1996,"Boxing","Boxing","67 - 71kg (light-middleweight)","DUVERGEL, Alfredo","Men","CUB","Cuba","M","Silver"
"8072",8189,"Atlanta",1996,"Boxing","Boxing","54 - 57kg (featherweight)","CHACON, Pablo","Men","ARG","Argentina","M","Bronze"
"8073",8190,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 500m (canoe single)","DOKTOR, Martin","Men","CZE","Czech Republic","M","Gold"
"8074",8191,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","TISHCHENKO, Anatoly","Men","RUS","Russia","M","Bronze"
"8075",8192,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","BORSAN, Antonel","Men","ROU","Romania","M","Silver"
"8076",8193,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 500m (canoe single)","PULAI, Imre","Men","HUN","Hungary","M","Bronze"
"8077",8194,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 1000m (kayak single)","ROBINSON, Clint","Men","AUS","Australia","M","Bronze"
"8078",8195,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","SCARPA, Daniele","Men","ITA","Italy","M","Silver"
"8079",8196,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","GLAVAN, Marcel","Men","ROU","Romania","M","Silver"
"8080",8197,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","GUTSCHE, Torsten Rene","Men","GER","Germany","M","Gold"
"8081",8198,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","TSYBULNIKOV, Georgiy","Men","RUS","Russia","M","Bronze"
"8082",8199,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","KOBAN, Rita","Women","HUN","Hungary","W","Gold"
"8083",8200,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","EICHENBERGER, Sabine","Women","SUI","Switzerland","W","Silver"
"8084",8201,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","OLSSON, Anna","Women","SWE","Sweden","W","Bronze"
"8085",8202,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","REINECK, Thomas","Men","GER","Germany","M","Gold"
"8086",8203,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","ROSSI, Antonio","Men","ITA","Italy","M","Gold"
"8087",8204,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","OBREJA, Grigore","Men","ROU","Romania","M","Bronze"
"8088",8205,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","ROSSI, Antonio","Men","ITA","Italy","M","Gold"
"8089",8206,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","KAZANOV, Milko","Men","BUL","Bulgaria","M","Bronze"
"8090",8207,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 500m (canoe single)","KNAZOVICKY, Slavomir","Men","SVK","Slovakia","M","Silver"
"8091",8208,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","HOFMANN, Detlef","Men","GER","Germany","M","Gold"
"8092",8209,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","MUCKE, Manuela","Women","GER","Germany","W","Gold"
"8093",8210,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 1000m (canoe single)","ZALA, Gyorgy","Men","HUN","Hungary","M","Bronze"
"8094",8211,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","BLUHM, Kay","Men","GER","Germany","M","Gold"
"8095",8212,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 1000m (kayak single)","BONOMI, Beniamino","Men","ITA","Italy","M","Silver"
"8096",8213,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","VERLIN, Sergey","Men","RUS","Russia","M","Bronze"
"8097",8214,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","ADROVICZ, Attila","Men","HUN","Hungary","M","Silver"
"8098",8215,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","IDEM, Josefa","Women","ITA","Italy","W","Bronze"
"8099",8216,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","RENEYSKIY, Viktor","Men","MDA","Moldova","M","Silver"
"8100",8217,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","ERICSSON, Ingela","Women","SWE","Sweden","W","Bronze"
"8101",8218,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","FISCHER, Birgit","Women","GER","Germany","W","Silver"
"8102",8219,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","SCHUCK, Anett","Women","GER","Germany","W","Gold"
"8103",8220,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","HOLMANN, Knut","Men","NOR","Norway","M","Silver"
"8104",8221,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","MUELLER, Gabi","Women","SUI","Switzerland","W","Silver"
"8105",8222,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","KOLONICS, Gyorgy","Men","HUN","Hungary","M","Gold"
"8106",8223,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","COLLINS, Daniel","Men","AUS","Australia","M","Bronze"
"8107",8224,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","HORVATH, Csaba","Men","HUN","Hungary","M","Bronze"
"8108",8225,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","PORTWICH, Ramona","Women","GER","Germany","W","Gold"
"8109",8226,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","CSIPES, Ferenc","Men","HUN","Hungary","M","Silver"
"8110",8227,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","HARALAMOW, Ingrid","Women","SUI","Switzerland","W","Silver"
"8111",8228,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","BAUMER, Daniela","Women","SUI","Switzerland","W","Silver"
"8112",8229,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","HORVATH, Gabor","Men","HUN","Hungary","M","Silver"
"8113",8230,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 1000m (canoe single)","KLEMENTYEV, Ivans","Men","LAT","Latvia","M","Silver"
"8114",8231,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","BRUNET, Caroline","Women","CAN","Canada","W","Silver"
"8115",8232,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","BONOMI, Beniamino","Men","ITA","Italy","M","Silver"
"8116",8233,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-1 1000m (canoe single)","DOKTOR, Martin","Men","CZE","Czech Republic","M","Gold"
"8117",8234,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","RAJNA, Andras","Men","HUN","Hungary","M","Silver"
"8118",8235,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 1000m (kayak single)","HOLMANN, Knut","Men","NOR","Norway","M","Gold"
"8119",8236,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","KIRCHBACH, Gunar","Men","GER","Germany","M","Gold"
"8120",8237,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","JURAVSCHI, Nikolai","Men","MDA","Moldova","M","Silver"
"8121",8238,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","DUSHEV, Andrian","Men","BUL","Bulgaria","M","Bronze"
"8122",8239,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","BORCHERT, Katrin","Women","AUS","Australia","W","Bronze"
"8123",8240,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","FISCHER, Birgit","Women","GER","Germany","W","Gold"
"8124",8241,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","ANDRIEV, Gheorghe","Men","ROU","Romania","M","Bronze"
"8125",8242,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","DITTMER, Andreas","Men","GER","Germany","M","Gold"
"8126",8243,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","WINTER, Olaf","Men","GER","Germany","M","Gold"
"8127",8244,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","ZABEL, Mark","Men","GER","Germany","M","Gold"
"8128",8245,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-1 500m (kayak single)","MARKIEWICZ, Piotr","Men","POL","Poland","M","Bronze"
"8129",8246,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","ROSENQVIST, Susanne","Women","SWE","Sweden","W","Bronze"
"8130",8247,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","BLUHM, Kay","Men","GER","Germany","M","Silver"
"8131",8248,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","GUNNARSSON, Susanne","Women","SWE","Sweden","W","Gold"
"8132",8249,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","ANDERSSON, Agneta","Women","SWE","Sweden","W","Gold"
"8133",8250,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 500m (canoe double)","HORVATH, Csaba","Men","HUN","Hungary","M","Gold"
"8134",8251,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 500m (kayak four)","ANDERSSON, Agneta","Women","SWE","Sweden","W","Bronze"
"8135",8252,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","GUTSCHE, Torsten Rene","Men","GER","Germany","M","Silver"
"8136",8253,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 1000m (kayak double)","SCARPA, Daniele","Men","ITA","Italy","M","Gold"
"8137",8254,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-4 1000m (kayak four)","GOROBIY, Oleg","Men","RUS","Russia","M","Bronze"
"8138",8255,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","C-2 1000m (canoe double)","KOLONICS, Gyorgy","Men","HUN","Hungary","M","Bronze"
"8139",8256,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","WOOD, Anna Maria","Women","AUS","Australia","W","Bronze"
"8140",8257,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","TRIM, Andrew Lawrence","Men","AUS","Australia","M","Bronze"
"8141",8258,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak F","K-2 500m (kayak double)","PORTWICH, Ramona","Women","GER","Germany","W","Silver"
"8142",8259,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-1 (canoe single)","POLLERT, Lukas","Men","CZE","Czech Republic","M","Silver"
"8143",8260,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","SENFT, Michael","Men","GER","Germany","M","Bronze"
"8144",8261,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","ADISSON, Franck","Men","FRA","France","M","Gold"
"8145",8262,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","SIMEK, Miroslav","Men","CZE","Czech Republic","M","Silver"
"8146",8263,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","VEHOVAR, Andraz","Men","SLO","Slovenia","M","Silver"
"8147",8264,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-1 (canoe single)","MARTIKAN, Michal","Men","SVK","Slovakia","M","Gold"
"8148",8265,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","FOX-JERUSALMI, Myriam","Women","FRA","France","W","Bronze"
"8149",8266,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-1 (canoe single)","ESTANGUET, Patrice","Men","FRA","France","M","Bronze"
"8150",8267,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","EHRENBERG, Andre","Men","GER","Germany","M","Bronze"
"8151",8268,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","FIX, Oliver","Men","GER","Germany","M","Gold"
"8152",8269,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","FORGUES, Wilfrid","Men","FRA","France","M","Gold"
"8153",8270,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","C-2 (canoe double)","ROHAN, Jiri","Men","CZE","Czech Republic","M","Silver"
"8154",8271,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","BECKER, Thomas","Men","GER","Germany","M","Bronze"
"8155",8272,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","HILGERTOVA, Stepanka","Women","CZE","Czech Republic","W","Gold"
"8156",8273,"Atlanta",1996,"Canoe / Kayak","Canoe / Kayak S","K-1 (kayak single)","CHLADEK, Dana","Women","USA","United States","W","Silver"
"8157",8274,"Atlanta",1996,"Cycling","Cycling Road","individual road race","CHIAPPA, Imelda","Women","ITA","Italy","W","Silver"
"8158",8275,"Atlanta",1996,"Cycling","Cycling Road","individual road race","RICHARD, Pascal","Men","SUI","Switzerland","M","Gold"
"8159",8276,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","LONGO-CIPRELLI, Jeannie","Women","FRA","France","W","Silver"
"8160",8277,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","INDURAIN, Miguel","Men","ESP","Spain","M","Gold"
"8161",8278,"Atlanta",1996,"Cycling","Cycling Road","individual road race","HUGHES, Clara","Women","CAN","Canada","W","Bronze"
"8162",8279,"Atlanta",1996,"Cycling","Cycling Road","individual road race","SCIANDRI, Max","Men","GBR","United Kingdom","M","Bronze"
"8163",8280,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","OLANO, Abraham","Men","ESP","Spain","M","Silver"
"8164",8281,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","ZABIROVA, Zoulfia","Women","RUS","Russia","W","Gold"
"8165",8282,"Atlanta",1996,"Cycling","Cycling Road","individual road race","LONGO-CIPRELLI, Jeannie","Women","FRA","France","W","Gold"
"8166",8283,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","HUGHES, Clara","Women","CAN","Canada","W","Bronze"
"8167",8284,"Atlanta",1996,"Cycling","Cycling Road","individual time trial","BOARDMAN, Christopher Miles","Men","GBR","United Kingdom","M","Bronze"
"8168",8285,"Atlanta",1996,"Cycling","Cycling Road","individual road race","SOERENSEN, Rolf","Men","DEN","Denmark","M","Silver"
"8169",8286,"Atlanta",1996,"Cycling","Cycling Track","points race","HARINGA, Ingrid","Women","NED","Netherlands","W","Silver"
"8170",8287,"Atlanta",1996,"Cycling","Cycling Track","sprint","HARINGA, Ingrid","Women","NED","Netherlands","W","Bronze"
"8171",8288,"Atlanta",1996,"Cycling","Cycling Track","Sprint indivual","NOTHSTEIN, Marty","Men","USA","United States","M","Silver"
"8172",8289,"Atlanta",1996,"Cycling","Cycling Track","points race","LANCIEN, Nathalie","Women","FRA","France","W","Gold"
"8173",8290,"Atlanta",1996,"Cycling","Cycling Track","Individual Pursuit","MCGEE, Bradley","Men","AUS","Australia","M","Bronze"
"8174",8291,"Atlanta",1996,"Cycling","Cycling Track","Points Race","O'GRADY, Stuart","Men","AUS","Australia","M","Bronze"
"8175",8292,"Atlanta",1996,"Cycling","Cycling Track","individual pursuit","ARNDT, Judith","Women","GER","Germany","W","Bronze"
"8176",8293,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","MCGEE, Bradley","Men","AUS","Australia","M","Bronze"
"8177",8294,"Atlanta",1996,"Cycling","Cycling Track","Individual Pursuit","COLLINELLI, Andrea","Men","ITA","Italy","M","Gold"
"8178",8295,"Atlanta",1996,"Cycling","Cycling Track","individual pursuit","BELLUTTI, Antonella","Women","ITA","Italy","W","Gold"
"8179",8296,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","MOREAU, Francis","Men","FRA","France","M","Gold"
"8180",8297,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","MARKOV, Alexei","Men","RUS","Russia","M","Silver"
"8181",8298,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","KUZNETSOV, Nikolai","Men","RUS","Russia","M","Silver"
"8182",8299,"Atlanta",1996,"Cycling","Cycling Track","Sprint indivual","FIEDLER, Jens","Men","GER","Germany","M","Gold"
"8183",8300,"Atlanta",1996,"Cycling","Cycling Track","1km time trial","HARTWELL, Erin W.","Men","USA","United States","M","Silver"
"8184",8301,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","CHANTYR, Anton","Men","RUS","Russia","M","Silver"
"8185",8302,"Atlanta",1996,"Cycling","Cycling Track","individual pursuit","CLIGNET, Marion","Women","FRA","France","W","Silver"
"8186",8303,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","O'GRADY, Stuart","Men","AUS","Australia","M","Bronze"
"8187",8304,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","CAPELLE, Christophe","Men","FRA","France","M","Gold"
"8188",8305,"Atlanta",1996,"Cycling","Cycling Track","Points Race","MARTINELLO, Silvio","Men","ITA","Italy","M","Gold"
"8189",8306,"Atlanta",1996,"Cycling","Cycling Track","Sprint indivual","HARNETT, Curtis","Men","CAN","Canada","M","Bronze"
"8190",8307,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","MONIN, Jean-Michel","Men","FRA","France","M","Gold"
"8191",8308,"Atlanta",1996,"Cycling","Cycling Track","1km time trial","JUMONJI, Takanobu","Men","JPN","Japan","M","Bronze"
"8192",8309,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","O'SHANNESSEY, Timothy","Men","AUS","Australia","M","Bronze"
"8193",8310,"Atlanta",1996,"Cycling","Cycling Track","sprint","BALLANGER, Felicia","Women","FRA","France","W","Gold"
"8194",8311,"Atlanta",1996,"Cycling","Cycling Track","Individual Pursuit","ERMENAULT, Philippe","Men","FRA","France","M","Silver"
"8195",8312,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","ERMENAULT, Philippe","Men","FRA","France","M","Gold"
"8196",8313,"Atlanta",1996,"Cycling","Cycling Track","points race","TYLER SHARMAN, Lucy","Women","AUS","Australia","W","Bronze"
"8197",8314,"Atlanta",1996,"Cycling","Cycling Track","Points Race","WALTON, Brian","Men","CAN","Canada","M","Silver"
"8198",8315,"Atlanta",1996,"Cycling","Cycling Track","sprint","FERRIS, Michelle","Women","AUS","Australia","W","Silver"
"8199",8316,"Atlanta",1996,"Cycling","Cycling Track","1km time trial","ROUSSEAU, Florian","Men","FRA","France","M","Gold"
"8200",8317,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","WOODS, Dean","Men","AUS","Australia","M","Bronze"
"8201",8318,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","AITKEN, Brett","Men","AUS","Australia","M","Bronze"
"8202",8319,"Atlanta",1996,"Cycling","Cycling Track","Team Pursuit (4000m)","GRITSUN, Eduard","Men","RUS","Russia","M","Silver"
"8203",8320,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","DEMATTEI, Susan","Women","USA","United States","W","Bronze"
"8204",8321,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","BRENTJENS, Bart","Men","NED","Netherlands","M","Gold"
"8205",8322,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","MARTINEZ, Miguel","Men","FRA","France","M","Bronze"
"8206",8323,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","SYDOR, Alison","Women","CAN","Canada","W","Silver"
"8207",8324,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","FRISCHKNECHT, Thomas","Men","SUI","Switzerland","M","Silver"
"8208",8325,"Atlanta",1996,"Cycling","Mountain Bike","cross-country","PEZZO, Paola","Women","ITA","Italy","W","Gold"
"8209",8326,"Atlanta",1996,"Equestrian","Dressage","team","TEODORESCU, Monica","Women","GER","Germany","X","Gold"
"8210",8327,"Atlanta",1996,"Equestrian","Dressage","team","SCHAUDT, Martin","Men","GER","Germany","X","Gold"
"8211",8328,"Atlanta",1996,"Equestrian","Dressage","team","VAN GRUNSVEN, Anky","Women","NED","Netherlands","X","Silver"
"8212",8329,"Atlanta",1996,"Equestrian","Dressage","team","BARTELS DE VRIES, Maria Anna","Women","NED","Netherlands","X","Silver"
"8213",8330,"Atlanta",1996,"Equestrian","Dressage","team","SEIDEL, Guenter","Men","USA","United States","X","Bronze"
"8214",8331,"Atlanta",1996,"Equestrian","Dressage","individual","ROTHENBERGER, Sven","Men","NED","Netherlands","X","Bronze"
"8215",8332,"Atlanta",1996,"Equestrian","Dressage","team","PETERS, Steffen","Women","USA","United States","X","Bronze"
"8216",8333,"Atlanta",1996,"Equestrian","Dressage","individual","WERTH, Isabell","Women","GER","Germany","X","Gold"
"8217",8334,"Atlanta",1996,"Equestrian","Dressage","individual","VAN GRUNSVEN, Anky","Women","NED","Netherlands","X","Silver"
"8218",8335,"Atlanta",1996,"Equestrian","Dressage","team","ROTHENBERGER, Sven","Men","NED","Netherlands","X","Silver"
"8219",8336,"Atlanta",1996,"Equestrian","Dressage","team","GIBSON, Michelle","Women","USA","United States","X","Bronze"
"8220",8337,"Atlanta",1996,"Equestrian","Dressage","team","DOVER, Robert Jeffrey","Men","USA","United States","X","Bronze"
"8221",8338,"Atlanta",1996,"Equestrian","Dressage","team","BALKENHOL, Klaus","Men","GER","Germany","X","Gold"
"8222",8339,"Atlanta",1996,"Equestrian","Dressage","team","ROTHENBERGER, Gonnelien","Women","NED","Netherlands","X","Silver"
"8223",8340,"Atlanta",1996,"Equestrian","Dressage","team","WERTH, Isabell","Women","GER","Germany","X","Gold"
"8224",8341,"Atlanta",1996,"Equestrian","Eventing","individual","MILLIKIN, Kerry","Women","USA","United States","X","Bronze"
"8225",8342,"Atlanta",1996,"Equestrian","Eventing","team","O'CONNOR, Karen","Women","USA","United States","X","Silver"
"8226",8343,"Atlanta",1996,"Equestrian","Eventing","team","NICHOLSON, Andrew","Men","NZL","New Zealand","X","Bronze"
"8227",8344,"Atlanta",1996,"Equestrian","Eventing","team","ROLTON, Gillian","Women","AUS","Australia","X","Gold"
"8228",8345,"Atlanta",1996,"Equestrian","Eventing","individual","TAIT, Blyth","Men","NZL","New Zealand","X","Gold"
"8229",8346,"Atlanta",1996,"Equestrian","Eventing","team","HOY, Andrew","Men","AUS","Australia","X","Gold"
"8230",8347,"Atlanta",1996,"Equestrian","Eventing","team","JEFFERIS, Vaughn","Men","NZL","New Zealand","X","Bronze"
"8231",8348,"Atlanta",1996,"Equestrian","Eventing","team","DUTTON, Phillip","Men","AUS","Australia","X","Gold"
"8232",8349,"Atlanta",1996,"Equestrian","Eventing","team","LATTA, Victoria Jean","Women","NZL","New Zealand","X","Bronze"
"8233",8350,"Atlanta",1996,"Equestrian","Eventing","team","TAIT, Blyth","Men","NZL","New Zealand","X","Bronze"
"8234",8351,"Atlanta",1996,"Equestrian","Eventing","team","HENNEBERG, Jill","Women","USA","United States","X","Silver"
"8235",8352,"Atlanta",1996,"Equestrian","Eventing","individual","CLARK, Sally","Women","NZL","New Zealand","X","Silver"
"8236",8353,"Atlanta",1996,"Equestrian","Eventing","team","SCHAEFFER, Wendy","Women","AUS","Australia","X","Gold"
"8237",8354,"Atlanta",1996,"Equestrian","Eventing","team","O'CONNOR, David","Men","USA","United States","X","Silver"
"8238",8355,"Atlanta",1996,"Equestrian","Eventing","team","DAVIDSON, Bruce Oram","Men","USA","United States","X","Silver"
"8239",8356,"Atlanta",1996,"Equestrian","Jumping","team","MATZ, Michael","Men","USA","United States","X","Silver"
"8240",8357,"Atlanta",1996,"Equestrian","Jumping","team","BEERBAUM, Ludger","Men","GER","Germany","X","Gold"
"8241",8358,"Atlanta",1996,"Equestrian","Jumping","team","LEONE, Peter","Men","USA","United States","X","Silver"
"8242",8359,"Atlanta",1996,"Equestrian","Jumping","individual","MELLIGER, Wilhelm","Men","SUI","Switzerland","X","Silver"
"8243",8360,"Atlanta",1996,"Equestrian","Jumping","individual","KIRCHHOFF, Ulrich","Men","GER","Germany","X","Gold"
"8244",8361,"Atlanta",1996,"Equestrian","Jumping","team","SLOOTHAAK, Franke","Men","GER","Germany","X","Gold"
"8245",8362,"Atlanta",1996,"Equestrian","Jumping","individual","LEDERMANN, Alexandra","Women","FRA","France","X","Bronze"
"8246",8363,"Atlanta",1996,"Equestrian","Jumping","team","NIEBERG, Lars","Men","GER","Germany","X","Gold"
"8247",8364,"Atlanta",1996,"Equestrian","Jumping","team","MIRANDA NETO, Alvaro","Men","BRA","Brazil","X","Bronze"
"8248",8365,"Atlanta",1996,"Equestrian","Jumping","team","PESSOA, Rodrigo","Men","BRA","Brazil","X","Bronze"
"8249",8366,"Atlanta",1996,"Equestrian","Jumping","team","JOHANNPETER, Andre","Men","BRA","Brazil","X","Bronze"
